SYSTEM_ID,TOTAL_INVOICES,UNPAID_INVOICES,LATE_INVOICES,PERCENTAGE_UNPAID_INVOICES,PERCENTAGE_LATE_INVOICES,MID_YEAR_PCT,FINAL_YEAR_PCT,FROM_ACTIVE,FROM_WITHDRAWN,IS_REINSTATED,Total_Days_Recorded,Present_Days,Attendance_Percentage,RO_PRIM_DESC,RO_SECN_DESC,CHURN
111905,38,0,0,0,0,77.0810810810811,75.265306122449,1,1,1,344,286,83.14,Others,IA,1
112068,12,0,1,0,8.33333333333333,63.1,62.7368421052632,1,,0,166,131,78.92,,,0
112194,12,0,0,0,0,79.3333333333333,80.1379310344828,1,,0,169,140,82.84,,,0
112224,12,0,0,0,0,90.24,90.2702702702703,1,,0,153,149,97.39,,,0
112225,12,0,0,0,0,85.76,85.7297297297297,1,,0,168,165,98.21,,,0
112232,12,0,1,0,8.33333333333333,85.7142857142857,88.4444444444444,1,,0,167,153,91.62,,,0
112294,12,5,6,41.6666666666667,50,85.2857142857143,84.8888888888889,1,,0,167,149,89.22,,,0
112381,12,5,7,41.6666666666667,58.3333333333333,48.5,53.2222222222222,1,,0,164,139,84.76,,,0
112477,12,6,6,50,50,66.3783783783784,70.530612244898,1,,0,155,136,87.74,,,0
112841,12,0,0,0,0,98.4864864864865,96,1,,0,143,103,72.03,,,0
112876,12,0,1,0,8.33333333333333,82.56,87.1351351351351,1,,0,168,159,94.64,,,0
113240,12,0,0,0,0,95.4285714285714,94.8421052631579,1,,0,160,150,93.75,,,0
113451,12,0,0,0,0,87.68,87.4594594594595,1,,0,171,161,94.15,,,0
113560,12,4,4,33.3333333333333,33.3333333333333,90.5,88.6,1,,0,160,116,72.5,,,0
113635,32,7,10,21.875,31.25,75.6,71.8,1,1,1,300,210,70,Others,IA,1
113635,32,7,10,21.875,31.25,75.6,71.8,1,1,1,300,210,70,Initiated By School ,Unreachable ,1
113724,12,0,0,0,0,93.2857142857143,92.421052631579,1,,0,160,130,81.25,,,0
113956,12,0,0,0,0,86.3,87.7,1,,0,162,147,90.74,,,0
114552,12,0,1,0,8.33333333333333,77.1891891891892,72.0816326530612,1,,0,155,125,80.65,,,0
114700,12,5,5,41.6666666666667,41.6666666666667,80.2,82.5,1,,0,151,117,77.48,,,0
114746,12,2,2,16.6666666666667,16.6666666666667,94.0540540540541,95.4838709677419,1,,0,143,125,87.41,,,0
114924,12,0,0,0,0,90.4285714285714,91.7894736842105,1,,0,162,144,88.89,,,0
115002,12,0,1,0,8.33333333333333,66.1379310344828,65.3793103448276,1,,0,162,143,88.27,,,0
115012,8,0,0,0,0,59.2432432432433,76.3265306122449,1,,0,111,55,49.55,,,0
115362,11,3,3,27.2727272727273,27.2727272727273,75.4285714285714,71.6666666666667,1,,0,164,121,73.78,,,0
115403,37,5,37,13.5135135135135,100,88.6,86.3,1,1,1,328,262,79.88,Others,IA,1
115420,12,0,1,0,8.33333333333333,72.1,77.7142857142857,1,,0,154,112,72.73,,,0
115610,12,0,0,0,0,49.12,54.4864864864865,1,,0,171,137,80.12,,,0
115794,12,0,0,0,0,89.4285714285714,86,1,,0,160,138,86.25,,,0
115930,40,7,9,17.5,22.5,86.56,82.2702702702703,1,1,1,336,296,88.1,Others,IA,1
115943,12,0,0,0,0,73.5029940119761,74.7,1,,0,164,121,73.78,,,0
115959,12,1,1,8.33333333333333,8.33333333333333,78.0714285714286,77.5862068965517,1,,0,169,140,82.84,,,0
115993,12,0,0,0,0,95.52,93.5135135135135,1,,0,171,156,91.23,,,0
116049,12,4,4,33.3333333333333,33.3333333333333,78.08,84.2162162162162,1,,0,168,152,90.48,,,0
116072,12,3,4,25,33.3333333333333,74.0540540540541,75.4285714285714,1,,0,155,147,94.84,,,0
116411,12,0,3,0,25,84.4324324324324,85.8775510204082,1,,0,172,119,69.19,,,0
116451,12,0,0,0,0,82.08,85.4054054054054,1,,0,164,136,82.93,,,0
116756,12,0,1,0,8.33333333333333,89.7142857142857,92.421052631579,1,,0,169,144,85.21,,,0
116927,12,1,0,8.33333333333333,0,82.88,84.972972972973,1,,0,170,157,92.35,,,0
117263,12,1,0,8.33333333333333,0,96.2162162162162,96,1,,0,159,148,93.08,,,0
117309,12,0,4,0,33.3333333333333,74.3783783783784,76.8163265306122,1,,0,159,149,93.71,,,0
117638,12,0,1,0,8.33333333333333,86.56,86.7027027027027,1,,0,168,154,91.67,,,0
118771,12,1,3,8.33333333333333,25,94.4285714285714,96.3157894736842,1,,0,163,135,82.82,,,0
118806,12,6,6,50,50,94,90.3157894736842,1,,0,160,136,85,,,0
118817,12,0,0,0,0,62.1428571428572,60.9473684210526,1,,0,160,144,90,,,0
118926,12,0,0,0,0,63.7142857142857,59.2631578947368,1,,0,165,129,78.18,,,0
119220,37,1,4,2.7027027027027,10.8108108108108,53.8571428571429,64,1,1,1,338,288,85.21,Others,IA,1
119253,37,9,10,24.3243243243243,27.027027027027,55.6756756756757,55.1612903225807,1,1,1,306,250,81.7,Others,IA,1
119321,12,0,1,0,8.33333333333333,67,62.8421052631579,1,,0,162,126,77.78,,,0
119567,12,0,0,0,0,62.08,68,1,,0,164,144,87.8,,,0
119872,12,0,0,0,0,76.8,82.1379310344828,1,,0,144,135,93.75,,,0
119873,12,0,0,0,0,88.3243243243243,90.3846153846154,1,,0,153,119,77.78,,,0
119874,11,0,0,0,0,95.4,93.8,1,,0,152,132,86.84,,,0
120152,37,6,6,16.2162162162162,16.2162162162162,74.9189189189189,68.5714285714286,1,1,1,310,262,84.52,Others,IA,1
120162,12,0,0,0,0,72,67.0526315789474,1,,0,167,131,78.44,,,0
121109,12,0,0,0,0,89.28,91.2432432432432,1,,0,153,150,98.04,,,0
121151,12,0,0,0,0,65.28,61.4054054054054,1,,0,171,158,92.4,,,0
121186,12,2,2,16.6666666666667,16.6666666666667,57.1891891891892,54.2424242424243,1,,0,140,126,90,,,0
121225,12,0,0,0,0,88.96,89.945945945946,1,,0,171,141,82.46,,,0
121303,37,9,17,24.3243243243243,45.945945945946,71.7757009345794,71.027027027027,1,1,1,340,252,74.12,Initiated By School ,Unreachable ,1
